,product_name,brand,water_usage_liters,carbon_footprint_kg,energy_consumption_kwh,packaging_waste_g,biodegradability,hazardous_chemicals,recyclability_score,environmental_certifications,environmental_impact_score
7429,PHUYEN BODY LOTION,Phuyen,129.0,0.149,0.266,19,0.0,2,4,0,0.244
7430,Lumene OILY SKIN PURIFYING TONER 150ml,Lumene,84.0,2.49,5.38,13,85.0,1,8,0,0.3681666666666667
7431,MATTEL WOW SURPRISE BLUE BARREL,MATTEL,33.6,0.06836019,0.001718916,27,0.14,0,4,0,0.09793526
7432,TRESemmé 7 Day Volume Shampoo,TRESemmé,8.5,0.6455,2.56,146,0.0,0,9,14,0.011118227
7433,Albano 100,Albano,0.0,0.0,0.0,0,0.0,0,10,0,0.0
7434,NANOEMULSION EYE MASCARA,BLOSSOM,2.2,3.244e-05,3.585e-06,5,0.001,1,5,0,0.039609371
7435,L'Oreal Paris Pure Clay Detox Mask,L'Oreal Paris,6.3,0.039,0.13,15,0.4,2,2,0,0.494
7436,Rodial Dragon's Blood Hyaluronic Tonic,Rodial,0.56,0.17,0.001,10,0.59,0,4,0,0.244
7437,Garnier Men Active Clean Scrub Gel,Garnier,16.0,3.08,2.04,80,80.0,7,7,0,2.67
7438,Peptide-C 10 Advanced Serum,The Ordinary,1.4,2.43,1.87,19,86.5,1,8,6,0.863914636
7439,Baby Bubble Bath,Johnson's,4.1,0.0013717315,0.017952485,45,97.0,0,6,0,0.013941323
7440,Clear Oil Control Cream,L'Oreal,250.0,2.2,1.4,24,98.9,3,7,2,0.193749877
7441,Where-There-Are,Where-There-Are,387.0,3.8,1.6,60,98.0,0,1,0,2.0
7442,Soya Oil,The Body Shop,1.9,0.68,0.054,12,63.7,0,8,0,0.818
7443,Masque à la salicylique,Catrice,114.0,10.245,5.3,66,20.0,12,3,0,4.0
7444,Venus In-Shower Hair Conditioner,VENUS,6.8,0.03025976,0.04266667,42,90.2,34,6,0,0.1408849
7445,Ludicrous,E.l.f. Cosmetics,6.29,1.01,0.0042,8,0.0,1,5,0,0.13231575
7446,"JK Cosmetics Deep Cleansing Facial Scrub, 125 ml",JK Cosmetics,1.0,0.484067566,0.032616378,14,100.0,0,5,0,0.361655671
7447,NIVEA POWERFUL + EFFECTIVE LIP BALM,NIVEA,1.0,5.558,0.0688,12,36.94,8,9,0,1.655
7448,"NOVENA SUNSCREEN LOTION SPF 60, SUNSCREEN LOTION SPF 60",NOVENA,2.1,2.28,0.035,120,20.0,79,7,0,0.55
7449,GLOSSY LIPSTICK,MAC,1.0,0.5418,2.27,2,0.999,1,10,0,0.9748
7450,High Impact Cosmetics,High Impact Cosmetics,65.7,114.6,35.42,70,0.0,3,3,0,0.635988433
7451,Ahava Dead Sea Water Mineral Moisturizing Cream,Ahava,1.5,1.82,10.4,23,73.7,0,3,0,0.269
7452,Lancer,LANCER,7.6,0.032,0.026,11,0.35,0,3,0,0.038
7453,Cetaphil Daily Facial Wash,Cetaphil,2.9,0.059,0.0015,24,0.6,4,4,0,10.33245979
7454,Beauty Stick,Frankincense,2.26,1.28,0.0149,34,84.71,4,7,1,0.37991399
7455,MAKEUP REMOVER,Bioderma,6397.0,16.45,0.037,33,80.0,0,8,0,0.41025
7456,Lipstick,H&M,0.0,0.081,0.802,4,0.14,16,6,0,0.209
7457,DIY: Mosturizing Facial Mask with Tamarind,Savannah,2.9,0.2756,0.1526,10,97.88,1,5,0,0.5049
7458,B.A.R.B.A.A.R.S.,B.A.R.B.A.A.R.S.,0.0,0.00425,0.00298,60,0.0,0,10,0,0.07225
7459,O'Keeffe's Working Hands,O'Keeffe's,1.2,0.173,0.025,8,0.974,4,4,0,0.129
7460,Aroma Sensation,The Body Shop,2.0,0.015,0.019,24,79.1,0,10,0,0.035
7461,Cosmetic products,Eau Thermale Avene,101.0,6.5224,1.19,38,7.0,0,6,0,7.0001
7462,Skin Care,Neutrogena,155.0,19.4,12.36,124,15.6,0,1,0,23.7
7463,PETIT MARSEILLAIS HYDRO PÉTILLANT,PETIT MARSEILLAIS,4.0,0.01697268,1.47,14,86.2,3,5,0,0.00234168
7464,MEN DELUGE,Gilette,1665.0,2.2669,14.34,82,0.0,1,4,0,0.6069
7465,PABA,PABA,0.24,0.117,0.001,16,0.01,0,8,0,0.322
7466,L'Oréal Paris Infallible 24H Fresh Wear Foundation,L'Oréal Paris,10.0,0.816,0.542,13,0.0,0,9,1,0.580171418540523
7467,ROSE DE CHIMIYA,Cosmetique de la Nature,22.0,1.98,0.022,14,0.21,0,7,0,0.58633728
7468,BioBliss Body Lotion,BioBliss,28.0,0.163,0.0609,706,92.0,2,5,0,0.6009
7469,CeraVe Foaming Facial Cleanser,CeraVe,18.4,1.968,0.45,133,3.0,0,8,0,0.523
7470,The Green Tea Nourishing Gel,The Body Shop,16.8,0.018,0.007,22,96.0,0,9,0,0.017
7471,SUNBURN REFRESHING SUN TAN LOTION SPF 30,NEUTROGENA,978.0,158.649625408,19.598186162,37,83.0,0,10,0,1.0773512007
7472,Cucumos,Cucumos,0.0,0.15865285,0.036136367,23,0.0,1,8,0,0.48397333
7473,MILKY WAY,NIVEA,183.33,119.51,2.79,16,98.74,0,8,0,0.01696852
7474,Hair Smoothing Glossing Mist,MOROCCANOIL,31.5,4.707999999999999,0.208,16,0.0,1,1,0,0.681
7475,Second Choice,MAYBELLINE NEW YORK,1.5,10.143,0.153,19,100.0,0,8,0,2.625
7476,NEW EARTH TAHITIAN MOONSTONE TEA TREE WATER,NEW EARTH,1.5,0.017,0.002,30,0.02,0,7,0,0.009
7477,SCHWARZKOPF BC BONACURE MOISTURE KICKER SHAMPOO,SCHWARZKOPF,8.1,0.063,0.104,72,0.0,0,10,0,0.292
7478,SUN FLOWER,ROYAL,23.0,0.06855,0.006948,5,0.8946,1,1,0,0.21219
7479,Garnier Nutrisse Ultra Color 1.11,Garnier,2.0,0.009215833,0.211,16,92.93,0,7,2,0.8038757
7480,SENSITIVE EYE RELIEF DROPS,EYELOGIC,1.47,0.001773137,0.027470142,10,100.0,0,8,0,1.4626527
7481,Vitamin C Anti-Aging Night Cream,Nature Republic,1.6,0.73,0.026,18,82.0,11,7,0,0.613
7482,Eye Care - Eye Drops,Bausch + Lomb,144.8,0.0165,3.74,170,78.0,2,6,0,0.26210525
7483,NIVEA Visage Daily Essentials Sun Protection Cream SPF 30,NIVEA,20.0,0.0,0.0,82,80.0,5,9,0,0.149199837
7484,Carmex Lip Balm,Carmex,0.0,1.29,0.0387,18,0.0,4,5,0,0.0
7485,NIVEA Moisturising Day Cream SPF 15,NIVEA,0.0,0.0327,0.0069,21,90.0,0,8,0,0.0382
7486,EVYLION® After Sun Soothing Gel,EVYLION,18.0,1.95,7.61,23,97.0,0,5,0,3.11
7487,LIPSARA LIP BALM,LIPSARA,0.0,0.0,0.0,25,98.0,0,10,0,0.0
7488,Melon Hand Cream,Yu-Be,1.35,3.14,0.006,45,0.99,2,1,1,0.99
7489,Dr. Solveig Cosmetic products,Dr.Solveig,0.0,6.23,0.0048,7,3.5,0,2,8,0.88233665
7490,Dove DermaSeries Refreshing Body Wash,Dove,177.573,3.500140400000001,2.96,186,0.0,4,8,0,1.6583193
7491,"AFRICA BELLE 100% NATURAL MASK FOR AGE-DEFYING, SOFT, PLUMP AND SMOOTH SKIN",The Body Shop,10.5,0.078,0.034,10,45.3,1,6,0,26.8238515625
7492,TOUCH OF CALMING SOAP,CETAPHIL,2.61,0.012,0.00054,21,89.5,0,3,0,0.00207
7493,Purifying Radiance Cream,Clarins,0.0,0.259,1.25,172,0.91,0,9,1,0.176
7494,Baneasa Cream,Baneasa,59.6,0.94267649,0.091166667,36,0.68073983,0,5,1,0.81666667
7495,SUN SILK BRIGHTENING CREAM,Sun Silk,107.65,7.086201506,2.358885565,104,3.2,3,3,0,17.96443572
7496,PureNature - Pure Hair Care,PureNature,28.0,0.026,0.005,191,100.0,0,6,3,0.036
7497,Balancing Treatment Mist,Garnier,3.4,0.0418,0.0068,10,94.0,0,7,0,0.1544
7498,Burberry London for Men EDP Spray,Burberry,16.0,51.92,6.51,46,92.0,1,7,1,0.86770155
7499,Fairy Liquid Original Pink Citrus Lemon Scent,Fairy,2.0,0.009203491,2.02,108,95.0,0,8,2,0.393680302
7500,Lip Color,Rimmel London,1.0,0.508,0.007,211,0.01,7,3,0,0.168
7501,Picchu Shampoo,Garnier,126.21,16.2,23.01,30,0.73,2,1,0,0.649
7502,Pleasure Principle Fragrance,Bath & Body Works,2.0,7.794,2.65,10,0.59,1,1,0,4.626
7503,Rosewater,The Body Shop,5.0,0.051,0.0,35,92.7,0,8,1,11.779
7504,Luminous Silk Foundation,Giorgio Armani,1.79,0.666,0.079,6,0.125,5,2,0,0.311
7505,Hydraluron Tonic - 100ml,Hydraluron,10.0,0.07,2.0,23,90.01,0,5,0,0.02
7506,Natural Refresh Gel,Garnier,3.5,4.8,19.0,152,52.0,0,9,0,0.033916685
7507,L'Oréal Paris Pure Clay Mask 100ml,L'Oréal Paris,175.0,1.17,29.7,11,99.9,0,4,0,0.649
7508,CETAPHIL Moisturizing Cream,CETAPHIL,93.0,8.47,2.07,225,47.0,0,3,0,0.249
7509,EnergyShield 100% SPF 30,Garnier,1.8,0.306,3.94,14,0.0,0,8,0,0.236
7510,AVON,AVON,1.16,12.07,1.65,27,36.0,0,9,0,0.24
7511,Baby Shampoo,Colgate,10.3,0.673,9.256,126,91.502,6,5,2,19.099
7512,Ciutadella de Lima Body Scrub,Ciutadella de Lima,192.24,0.073,0.013,19,86.0,3,4,0,0.139
7513,Bio Toscana S.r.l.,Bio Toscana S.r.l.,4.5,0.00096747,0.1853799,18,98.0,0,8,0,0.0024009
7514,NIVEA WET SKIN SUNCREAM LOTION SPF 15,Nivea,2.0,0.012,0.002,10,0.0,0,8,0,-0.042
7515,Rosarita AH+BHA 3%,Rosarita,0.553,0.5451,1.41,14,0.067,19,8,0,0.6871
7516,FANCY BIOTECH BABY BODY WASH,FANCY BIOTECH,40.0,0.002942959,0.003925858,10,98.219435,0,8,0,0.19756857
7517,Soothing Cleansing Milk,KAO,1.0,0.05832009,0.01,7,78.0,1,6,0,0.25912444
7518,HONEYSKIN LOTION,HONEYSKIN,228.0,0.0,0.02,137,75.0,1,3,0,0.071
7519,ESSENCE OF NATURE HANDFOOD,MADONNA,31.2,0.188,0.001,10,0.99,5,6,0,0.482
7520,Shea Butter Facial Scrub,TOSYA,89.95,1.87,3.67,6,5.0,2,7,0,0.560162025
7521,SENSORIAL LIP BALM,OLEHENRIKSEN,0.0,0.206795937,0.0,5,47.0,0,8,0,0.055293322
7522,Dove Oxygen Moisture Body Wash,Dove Personal Care,23.65,0.25339998,0.030000001,17,41.64,1,9,0,0.26666665
7523,Lipstick - Bare,The Body Shop,2.1,0.432,0.954,17,0.99,6,6,0,0.39
7524,Banana and Strawberry Hair Mask,Lush,1.46,0.38,0.02,27,67.0,3,4,1,0.87
7525,Cosmetic Products,Cosmetic Products,0.0,0.0,0.0,6,0.0,1,6,0,0.0
7526,"Baby Dove 4in1 shampoo, conditioner, body wash, bubble bath",Dove,1.9,0.00636500000000001,0.000452000000000003,19,0.999999999999999,7,8,1,0.0499382500000001
7527,Lip Balm,French Connection,0.13,0.0,0.11,10,0.0,0,7,0,0.0
7528,Nuxe Organic Phyto Kernel Oil,Nuxe,4.0,0.0023,0.011,76,84.0,3,10,1,0.3166
7529,Lipstick,Chanel,75.0,1.32,0.0264,1,99.0,0,7,0,0.268
7530,Hair Removal Cream for Women,Veet,3.12,0.032,0.002,6,30.0,1,8,0,0.607
7531,Luxury Collection™,Lancôme,25.0,0.334,0.72,16,98.0,10,9,0,0.77
7532,Sleek and Complexion Perfection,Maybelline,2.0,14.3039341523046,0.16446182,18,92.0,0,5,0,0.94886274
7533,ALGOPHYTENE,Nami,0.0,0.0,2.2,40,92.81,0,8,2,0.0
7534,All Day Matte,L'Oreal Paris,0.71,0.0519,0.25,4,0.948,0,8,0,0.1103
7535,Jouviance Hydraboost Mineral BB Cream SPF30,Jouviance,2.8,3.36,0.641,19,61.0,0,9,1,91.325
7536,SIMPLY DRY NATURAL DEODORANT,SIMPLY,3.0,0.013382336,0.032692678,3,0.133666667,0,8,0,0.024938337
7537,Kay Beauty,Kay Beauty,274.25,1.83,5.1,35,1.0,2,5,0,1.34
7538,Orange Lipsticks,Orange,4.5,0.768,0.061,14,0.712,1,8,0,0.266
7539,Eco Femme Organic Sanitary Napkin Pad,Eco Femme,5.1,0.067,0.0021,2,0.76,0,6,0,0.093
7540,Black Soap,Shea Moisture,64.0,1.793,1.742,13,68.0,1,9,0,0.349
7541,LAVA HAND SANITISER,NA,122.0,2.53,0.34,38,90.0,0,9,0,0.5583333333333333
7542,The Body Shop Vitamin E face toner,The Body Shop,16.0,0.3119,0.3071,5,95.0,3,8,0,0.2941
7543,Dermalux™ LED,Dermalux,10.0,0.15,0.27,22,0.98,0,9,0,0.155
7544,SUNSCREEN LIP BALM SPF15,DERMA E,17.5,0.067,0.012,93,0.71,18,5,2,0.0009
7545,Nivea Moisturising Day Cream with Sunscreen SPF 15,Nivea,2.4,0.7,0.012,20,0.67,1,9,0,0.466
7546,Q-Deo Deodorant,Q-Deo,0.0,1.04,0.071,3,99.9,0,8,0,3.14
7547,Cleo Kossa Cream,Cleo Kossa,3.0,0.03,0.00019,36,99.99,2,8,1,0.0336235
7548,COLA,NIVEA,35.6779,0.0377,0.0021,10,79.688,9,7,2,0.0502
7549,Natural Cleansing Facial Oil with Frankincense & Myrrh Oil,The Body Shop,0.0,0.0,1.5,122,99.96,0,7,0,0.13635217
7550,Natural Makeup Foundation by DERMA E,DERMA E,21.1,1.88,0.0953,33,93.5,1,5,0,0.9555
7551,ROYAL ALOE - FACE CREAM,LUSH,27.0,1.77,6.78,10,57.0,10,5,0,0.9203
7552,Shave Gel,Old Spice,5.0,0.173,0.055,22,91.94,0,6,0,0.256
7553,YINZHIMAI Silk Protein Ampoule,YINZHIMAI,158.2,1.0643,30.48,77,95.16,2,8,0,5.1
7554,Moulin Rouge Eau de Parfum,Yves Saint Laurent,17.8,1.592,1.99,10,28.0,4,4,0,0.342
7555,Harmony,Nivea,2.83,14.52,0.0332,28,0.0,2,10,0,16.325
7556,Hair,Unilever,10.0,0.032125,0.00823,180,72.49,1,4,0,0.634
7557,LIPSTICK,RED,2.25,6.96,7.14,15,100.0,1,0,0,35.33
7558,MILK GLOWING EYE MAKEUP REMOVER,ETUDE HOUSE,16.77,3.29,2.16,9,0.23,13,6,0,1.22
7559,Aroma Therapy - Eucalyptus,Pure Nature,17.0,0.010758278,0.3008719,19,100.0,0,6,1,0.013610256
7560,Ello,Ello,0.21,0.04,2.42,6,0.52,1,4,0,0.11
7561,LUSH,LUSH,11.0,1.25,1.08,10,93.0,0,10,0,0.004455336
7562,Necessary Body Lotion,Necessary,85.0,0.126,0.866,117,0.0,4,5,0,0.357
7563,Eco Touch Eye Make-up Remover,Laboratoires Dermatec,23.0,121.24,2.47,130,92.0,19,8,0,0.66760869
7564,Hair Cut Damage Control,L'Oréal Paris,0.0,0.0,1.5,22,98.0,0,4,0,0.0503420803
7565,Hair colour spray,Fake It,0.0,1.12,0.65,13,0.14,0,9,0,0.78
7566,Recovery Skin Balm,Shaanxi Natural,25.0,15.23,13.5,15,55.0,3,7,0,0.779862683
7567,Evermoist,Loreal Paris,0.0,0.055,0.568,9,95.1,2,6,0,0.681
7568,Hydrogen Peroxide 30% 200ml,Sterimar,0.82,0.4906667,0.02074167,30,0.0,1,7,0,0.2524033
7569,Hair Elixir with Moroccan Argan Oil,Vichy,1.0,36.59,0.148,38,0.95,1,6,0,0.17012546
7570,Cream M,KAO,1.9,0.091,0.022,13,28.06,2,3,0,0.158
7571,BIO NATURAL COSMETICS - NATURELOS OIL,BIO NATURAL COSMETICS,2.0,0.017,0.092,15,0.0,1,7,0,0.018
7572,Bubble's,Bubble's,0.7,0.014,1.3,38,92.06,1,5,0,0.25921672
7573,Garnier Ultimate Blends Hair Food Banana & Coconut Hair Mask,Garnier,51.704,0.601,1.304,67,95.9,0,7,1,0.789
7574,Armani Luminous Silk Powder Foundation,Giorgio Armani,0.294,10.527,1.75,12,0.247,9,3,0,0.269
7575,COCONUT OIL (100% NATURAL),NATURAL BEAUTY,13.0,0.119,0.017,13,0.0,2,6,0,0.289
7576,L'Oréal Paris Colour Riche L'Extraordinaire Lipstick,L'Oréal Paris,0.0,0.0,0.0,10,0.0,0,8,0,0.0
7577,Milk,Aroma,0.0,0.0,0.0,5,0.0,0,9,0,0.0
7578,Nourishing Body Cream,Merck,1.27,0.33,0.021,20,0.23,5,5,0,0.73
7579,Tea Tree Oil Shampoo,Healthy & Happy,2.6,0.001483973,0.38545,4,0.61,0,8,0,0.00538684
7580,Faithful to nature,Faithful to nature,41.0,2.27,4.58,18,0.0,4,3,1,0.0
7581,Hydra Moisturising Gel,Nivea,2.1,0.1632800000000001,0.112,50,8.1,2,2,0,0.366828231845858
7582,Eye Cosmetics,MAX FACTOR,3.8,53.43,0.69,37,0.89,2,7,0,6.53
7583,Professional clipper,Electrical,10.7,0.0,0.055,19,0.0,0,6,0,0.192
7584,VERBENA BY VICHY BODY SCRUB,VICHY,1.13,1.13,0.21,5,94.1,6,9,0,2.1
7585,Wet n Wild MegaGlo Hello Halo blush,Wet n Wild,8.0,0.4465983,0.00202014,19,0.9998,2,8,0,0.5684982
7586,Replace,Procter & Gamble,7.05,0.896,0.044,28,2.3,4,1,0,1.89
7587,Luxury Soap,Voyage,1.0,7.53326,0.0176112,5,80.7,3,5,1,3.45543
7588,Oil-based eyeliner,Maybelline,0.24,3.6,1.1,9,0.0,0,3,0,3.8
7589,Therapie - L'Essentiel Elixir de Beaute,Therapie,27.73,0.11,1.7,26,0.79,0,5,0,0.14
7590,DR. PAWPAW Multi-Purpose Soothing Balm,Dr. Pawpaw,20.0,0.523,0.143,34,0.214,0,4,0,0.11
7591,Pure Organic Argan Oil- Cream,Pure Organic,0.0,4.31,0.47,22,79.36,0,4,0,0.6723576
7592,Aveeno Daily Moisturizing Lotion,Aveeno,8.0,0.942899118,0.046166667,9,94.0,0,1,0,0.136249998
7593,VITAMIN C BRIGHTENING FACE SERUM,Nature's Truth,3.0,0.137,0.005,124,89.8,0,10,0,0.313
7594,Garnier Pure Active Revival Eye Roll On,Garnier,13.0,0.515,0.16,65,0.0,1,2,0,0.509
7595,Karite Body Balm,MADARA,3.0,0.004794755,1.001052446,10,97.1,0,7,0,0.003489779
7596,COOLING,BENEFIE,0.0,0.0,0.0,0,0.0,0,10,0,0.0
7597,Fabric Wash,SUN,2532.0,1.07,20.33,60,92.0,0,3,1,0.1097
7598,Johnson's baby shampoo for newborns,Johnson's,5.87,0.179,0.061,12,100.0,0,8,0,0.524
7599,Garnier Fructis Blow Dry Anti-Frizz and Heat Protect Spray,Garnier,1.0,0.01091528,0.006015847,16,92.0,0,9,0,0.04951735
7600,Skin Care,Garnier,10.1,13.5957,1.54066,78,92.0,1,6,0,0.498491
7601,Bath - liquid soap,The Body Shop,5850.0,47.26,2.319,50,0.69,1,7,0,0.69578462
7602,Weleda Almond Soothing Facial Toner,Weleda,150.0,0.5136,0.195,60,84.61,3,5,0,0.6084
7603,SMOOTHIE FACE WASH,PEARL DROPS,71.2,19.507681646543,1.52,30,64.25,3,5,0,28.335122037856
7604,Bioterps,Clinique,1.0,0.283,0.105,5,94.2,2,5,5,1.106
7605,Hypnose Star Mascara,Christian Dior,13.0,0.429999936719771,1.67,4,0.26,13,3,1,0.023333348796228
7606,ETUDE STUDIO EYESHADOW - 153 MAKE MY DAY,ETUDE STUDIO,0.1,1.17,0.47,23,10.0,1,7,0,0.3092609
7607,NIVEA Ultra-Hydrating Lip Care,NIVEA,2.0,0.109,0.332,10,8.42,24,4,0,0.198
7608,FACIAL SCRUB,Oriflame,120.0,0.031,0.489,19,0.0,6,10,0,0.479
7609,California Tan,California Tan,15.0,1.47039997,0.127522152,19,0.2,0,6,0,0.535539732
7610,Lab Series Men's Vitality Face Wash,Lab Series,11.6,0.0,2.0,112,86.2,6,3,0,236.2
7611,Kashmir Massage Oil,Kashmir,15.0,0.00189426,0.000475841,10,0.544,0,8,2,0.12962197
7612,MOMI,Mom,28.0,2.02,0.0017,13,90.0,0,4,0,0.46468049
7613,Vichy Normalizing Hydrating Care,Vichy,2.91,1.88,0.573,13,99.0,4,7,0,0.896
7614,Cetaphil Gentle Skin Cleanser,Cetaphil,1.22,1.61,0.0193,59,94.1,1,1,0,0.92
7615,'Hydra Gel','Bio Naturel',1.4,0.0094912004951068,0.0056924002459698,25,97.4,0,8,0,0.0065292027368699
7616,BODYSCRUB,JUSTNATURAL,24.0,3.1600000000000015,2.71,32,0.42,0,7,0,0.3080000000000007
7617,Medicated shampoo,Pantene,1.5,0.013176266,0.0003706721,18,93.5,1,0,1,0.02618418
7618,Garnier Ultimate Blends The Honey Treasures 4in1 Shampoo,Garnier,1.0,0.1301,0.0475,48,8.0,28,3,0,0.3243
7619,Fantasia Bella Light Blue Shampoo,Fantasia,8.0,0.0092435543,0.0015160034,35,0.51,7,2,0,0.322885678
7620,Eye Cream,Tatcha,14.0,0.548213269,1.644384819,10,27.0,4,7,0,0.918233625
7621,Tangle Teezer Shampoo & Conditioner,Tangle Teezer,0.0,0.0,0.0,17,0.0,0,0,0,0.0
7622,Vitamin E Body Lotion,Clinique,15.0,4.02,1.74,40,0.0,43,4,0,0.732369283
7623,DELF,Delf,0.22,0.015,0.5,15,93.4,0,6,0,0.073
7624,The Body Shop,The Body Shop,22.0,54.22,2.04,177,0.15,0,6,0,0.49
7625,Lips & Cheeks – 02,Inglot,11.12,7.16,0.49,148,98.0,0,3,0,5.11
7626,ORIGINAL BALM CLEANSING WATER,La Roche-Posay,0.221,0.000559,0.001724,18,99.5,1,8,0,0.001469
7627,Lipstick,MULTIPLEX,0.089,0.002,3.4e-06,0,0.285,0,7,0,0.141
7628,Care-less Hair Cream,Pure and Natural,1.0,0.0,0.0118,12,0.8,9,2,0,0.0129
7629,Kérastase Bain Satin 1,Kérastase,250.0,1.15,1.15,20,78.0,1,5,1,1.54
7630,FLEURS DE LANDE - EAU DE PARFUM,FLEURS DE LANDE,2.63,0.74,1.24,19,4.1,1,1,0,0.543188596
7631,Kiehl's Ultra Facial Cream,Kiehl's,0.01,0.26,0.37,0,81.0,0,8,0,0.0520286371803559
7632,Missha Perfect Cover BB Cream,Missha,11.2,2.47,1.15,25,41.82,1,2,0,0.71986505
7633,MUD MASK,LABORATOIRES DU BAIN,1.9,0.14,0.192,5,54.4,0,4,1,0.276
7634,Pink Fusion,Tarte,0.0,8.3,1.1,10,0.0,20,7,0,0.25
7635,XO Tinted Moisturizer SPF 20,Morgan Taylor,1.3,0.00154,0.0019,6,0.00179,4,7,0,0.00223
7636,L'Oreal Paris Nude Magique All Day Natural Lip Colour,L'Oreal Paris Nude Magique All Day Natural Lip Colour,3.38,1.41,3.19,12,94.0,5,5,0,0.756
7637,Lancôme - Teint Idole Ultra Wear Foundation,Lancôme,1.0,0.01,0.94,12,0.0,5,8,0,0.285377756
7638,Garnier nouriche moisturizing shampoo with honey & aloe vera,Garnier,11.0,0.73,0.88,26,97.0,0,4,0,0.35
7639,Mucin-type mask,SHEETA,0.0,7.2724,0.0298,19,0.0,0,5,2,0.4641
7640,Essence in Oil: Glowing Vitality,Claire's,1.66,0.298,0.061,22,0.434,5,3,0,0.336
7641,FENIX PURE | EYE CREAM,FENIX,0.0,0.0,0.0,10,100.0,0,0,0,0.0
7642,Purity of Honey Lip Balm,Purity of Honey,2.1,2.66,0.231,10,0.64,10,8,1,0.3604
7643,TARAOIL™,HORN,0.0,0.0,0.0,0,0.0,0,9,0,0.0
7644,Liquid Moisturizer,MAC,4.8,4.77,0.01,28,0.15,3,1,0,0.156311323774567
7645,Pure Argan Oil,Naturen,5.0,0.18826,0.04592,20,0.6345,1,2,0,0.5231
7646,NILAM DEODORANT BODY SPRAY,NILAM,0.0,0.0,0.0,287,0.0,2,5,0,0.0
7647,Shampoo with lemon and aloe vera,Ecotools,20.0,0.0726,1.265,14,98.0,0,10,1,0.716
7648,Kojic Acid Bleaching Cream,Natural White,20.0,3.04,0.15,5,0.26,5,1,0,0.67
7649,Masque à la citronnelle,Age,2.0,0.992,0.125,24,94.6875,0,6,0,0.536
7650,VITABIO,VITABIO,51.11,0.52164351,0.09531559,30,67.5,0,10,0,0.50848639
7651,Skin Care,Clinique,0.0,0.0,0.1,13,0.0,0,8,0,1.0
7652,Superdrug Lash Boosting Mascara,Superdrug,1.0,0.75,0.04,7,1.0,10,7,0,0.77
7653,Green Tea Soap,Masterly,0.0,0.0,0.0,7,98.25,0,0,1,0.69
7654,Garnier Whole Blends Almond Sweet Oil & Honey Intensive hair mask,Garnier,25.0,0.70330069,0.00221501,37,99.0,2,7,0,0.32414327
7655,MICELLAR CLEANSING WATER,NIVEA,1.4,0.055,0.005,9,60.0,1,8,0,0.067
7656,L'Oréal Paris Age Perfect Cell Renewal Day Cream with SPF 20,L'Oréal Paris,1.61,0.072,0.031,18,0.84,10,8,2,0.411
7657,Truckload,Farm,1.0,0.0005,0.1215,20,100.0,0,5,0,0.00113
7658,Bio-Foam,Lush,0.0,0.939,0.148,20,0.0,0,3,0,0.107
7659,Crystal Nail Polish,OPI,0.7,10.34,0.139,14,0.0,4,4,0,0.105
7660,LIVERPOOL PARK COSMETICS ALL NATURAL SHEA BUTTER AND CACAO BUTTER BODY LOTION,LIVERPOOL PARK COSMETICS,1.0,0.5667652,0.125,22,93.75,0,7,0,0.5142857
7661,Baby Oil with Almond,Nivea,1.29,0.57,0.076,13,91.0,4,1,0,0.119
7662,Solar Precious Balm,CLARINS,0.8,1.55,0.055,12,0.06,0,4,2,0.0016
7663,Liquid Hand Soap,ALDI,19.6,0.0192,0.0021,66,13.72,1,5,0,0.1787
7664,Chanel Makeup Foundation Ultra Le Teint Compact Foundation,Chanel,0.0,4.18,0.0,16,99.56,0,7,0,1.65
7665,Jergens body milk,Jergens,3.6,0.0118,1.9,5,0.784,0,9,0,-0.000977
7666,Just Sheer Sunscreen SPF 30,Clinique,0.0,0.13,0.0,50,100.0,0,6,0,0.13
7667,Fairy Liquid Original,Procter & Gamble,2.2,0.032,0.284,38,92.0,0,5,0,0.002
7668,Dove Nutritive Solutions Shampoo,Dove,3.339375,3.638375,8.215625,170,0.1,5,7,0,0.36666666
7669,Avon True Color Super Shock Gel Eye Liner,Avon,0.0,1.34,0.33,16,93.2,5,0,0,0.852
7670,Hair Cosmetics,Garnier,13.35,0.24,0.143,18,88.0,2,6,1,50.31126606611676
7671,Lakmé Absolute Gloss Stick,Lakme,1.3,0.046,0.137,24,0.0,10,4,0,0.247
7672,Honeydew Natural Nail Polish Remover,Honeydew,0.0,0.0,0.0,3,100.0,1,7,0,0.0
7673,BLACK SEA ABOVE THE HORIZON,OCEANO,0.3,0.001,0.0024,11,0.0,0,6,0,0.0
7674,YOU CARE DEODORANT,YOU CARE,10.0,0.071328717,0.705527135,158,80.0,0,7,0,0.567977435
7675,Garnier Moisture Bomb Tissue Mask,Garnier,0.78,1.03,0.28,17,0.0,9,6,0,0.64
7676,Radiance,Mark &nbsp; Spencer,2.29,0.342,0.42,13,54.8,0,7,0,0.381
7677,Chill Gazer,Miss Cherie,3.5,0.051400006,0.00600001,13,50.0,1,4,1,0.404300001
7678,Natural Skin Care Lash Lengthening Serum,Tropic,0.0,11.0,1.4,130,93.2,5,8,0,0.09852
7679,Skin Milk - Lotion,L'Oréal Paris,43.9,4.85152416,12.5,11,0.90976502,6,6,0,0.108527059
